ARTICLE_NUMBER,ARTICLE_TITLE,CONTENT_TYPE
KB0965750,Knowledge Article Attachment Link Inconsistent,Support and Troubleshooting
KB0727658,SSO users fail to login and get redirected to logout page immediately ,Support and Troubleshooting
KB0998328,Artificial Intelligence Search is not working as expected in service portal which has AI Search enabled.,Support and Troubleshooting
KB1213820,"In workspace, new workspace, and platform user must have role sn_hr_er.case_writer to create Employee relation (ER) case",Known Error
KB0748356,How to restrict Users to have access only to the incidents assigned to their respective Assignment groups,Support and Troubleshooting
KB0858646,"File permissions enforcement removes permissions of the windows service's log on as user, when computer or domain name has lowercase letters, leaving MID Server down",Known Error
KB1437037,インシデントからのナレッジ記事の作成,Support and Troubleshooting
KB0830733,"Why is my instance performing outbound HTTP requests to """"http://snap/snap/scanrequest""""?",Support and Troubleshooting
KB0960548,Will Servicenow antivirus scanner scan's the script inside the HTML files?,Support and Troubleshooting
KB0755115,Using the g_form.addOption method,Support and Troubleshooting
KB0791225,Unable to modify Change request values for Standard Change templates,Support and Troubleshooting
KB0784170,SLA definition Custom time zone source not applied to Task SLAs,Support and Troubleshooting
KB0746734,"Can't see a table name in the """"Table"""" field picker on UI action or client script form (in any application scope but Global)",Support and Troubleshooting
KB0817959,"Information found in the """"sys_user_session"""" table",Support and Troubleshooting
KB0680567,Understanding Acess Control List (ACL) Admin Overrides,Support and Troubleshooting
KB0952290,"Discovery MID Servers at 100% CPU - Good or Bad, Why and then What?",Support and Troubleshooting
KB0960709,Can someone who doesn't have the approver_user role approve the request?,Support and Troubleshooting
KB0536921,"HTML fields show raw HTML in list view, not user friendly",Known Error
KB0751326,Unique Key violation detected by database Duplicate entry for key 'random_canonical_hash_inde',Support and Troubleshooting
KB1113483,Understanding Agent Workspace and related tables,Support and Troubleshooting
KB1309380,ITIL users are redirected to  Service Operations Workspace  Homepage after login or impersonating the ITIL Users ,Support and Troubleshooting
KB0793472,Some users are unable to login via Multi-Provider SSO 'Logout successful and could not validate SAML response',Support and Troubleshooting
KB0867406,Tables in Paid and Custom-Table-Exempt 3rd party applications are counted as custom tables instead of being exempted,Known Error
KB0713097,The specified directory service attribute or value does not exist error on Create Ad Object orchestration activity,Support and Troubleshooting
KB0750361,How to confirm that Outlook Actionable Messages embedded approval request has been included inside an Email Notification?,Support and Troubleshooting
KB0696930,Delayed incident creation from alert in Maintenance ,Support and Troubleshooting
KB0964403,Flow action is updating /adding to update set,Support and Troubleshooting
KB0747613,"When importing data, some staging table records are duplicating or an Import set row is duplicating",Support and Troubleshooting
KB1125132,Notification Preferences URL doesn't work on Next Experience UI,Known Error
KB0812384,Retrieving update sets with MFA enabled fails,Support and Troubleshooting
KB0993656,State field value is empty on Major Incident workbench,Support and Troubleshooting
KB0715765,Users are not able to type the special character ' (apostrophe) after @mentions in task comments or work notes,Known Error
KB1308816,Unique Key violation detected by database error message when Retiring a CI due to existing CMDB CI End Of Life Ledger (cmdb_ci_end_of_life_ledger ) record,Support and Troubleshooting
KB0529232,ServiceNow Monitoring - Overview and Insight,Support and Troubleshooting
KB0690876,Users are unable to add the Sys ID field to a form or list view or a report / Exporting data with Sys ID,Support and Troubleshooting
KB0960939,Flow designer getting cancelled when an approver rejects the approval request,Support and Troubleshooting
KB1295208,Vendor contacts are not able to see Vendor risk assessments on Vendor Portal,Support and Troubleshooting
KB0636071,Work Instruction | Instance Upgrade Support with a DBI Pair,Global Cloud
KB0786444,"Identification error """"Identity Rule for table [cmdb_ci_table_name] missing Lookup Rule for class [table_name]""""",Support and Troubleshooting
KB0860689,Users not able  to login in cloned target instance using Multi Factor Authentication (MFA),Support and Troubleshooting
KB1327021,Not possible to create CIs using CMDB Workspace because the 'New' button is missing for Incident list,Known Error
KB0867074,HR Case takes a long time to generate tasks if the HR task uses HR Task template of type 'Checklist',Known Error
KB1122339,Internal/External - information we do and don't share with customers about Database/Server configurations,Support and Troubleshooting
KB0859922,Text Indexing - Recommended Field types to set to no_text_index=true,Support and Troubleshooting
KB0779310,Catalog client scripts and UI policies are not working in Agent Mobile App,Support and Troubleshooting
KB0695419,"Difference between """"glide.stream.max_entries"""" and """"glide.history.max_entries"""" properties",Support and Troubleshooting
KB0780787,Simulated Testing Methods,Support and Troubleshooting
KB1448786,'Discard draft' button is not enabled for 'catalog_builder_editor' and 'catalog_admin' personas,Known Error
KB1219758,Response code: 401 received when copying data from ServiceNow using Microsoft Azure Data Factory or Synapse Analytics,Support and Troubleshooting
KB1262214,CMDB Baseline database footprint and disk space usage explained,Support and Troubleshooting
KB0960912,Unified Keystore for MID,Support and Troubleshooting
KB0657354,Service Portal requires requires 'Multi SSO' to provide external authentication access on the Login widget,Support and Troubleshooting
KB0695425,How to increase the default timeout duration for ATF tests,Support and Troubleshooting
KB1306539,Users getting snc_external role assigned automatically,Support and Troubleshooting
KB0860948,How to stop the MID Server from auto upgrading,Support and Troubleshooting
KB0755130,Finding the users logged in to the instance,Support and Troubleshooting
KB0832118,Cannot print Multi Row Var set on Email notifications,Known Error
KB0829852,CIs With Name Populated,Data Foundations
KB0714795,Deleting a record from a scoped application has no effect when installing the update,Support and Troubleshooting
KB0743152,Stage field not rendering on Request list view,Support and Troubleshooting
KB0869574,The users are redirecting to Service Portal local login page instead of SSO login.,Support and Troubleshooting
KB0869459,Capacity not getting reduced based on Utilization condition.,Support and Troubleshooting
KB0792539,"MID Server start.bat will create a ""snc_mid"" Windows Service without checking that the installer has been run yet, while the config.xml/wrapper-override.conf files still have nonsensible values, leading to duplicate services for the same install folder",Known Error
KB1112550,How to delete Existing Configuration Compliance Data for Reimport,Support and Troubleshooting
KB0793287,Archiving / destroying sys_attachment data,Support and Troubleshooting
KB1442411,Frequent updates to sys_user table result into huge influx on ais_index events,Known Error
KB0997373,Understanding Customer-Created Tables,Support and Troubleshooting
KB1448988,How to redirect catalog items opened from the virtual agent chat window to ESC portal,Support and Troubleshooting
KB0778271,"Email Reader jobs do not fetch emails from mailbox when glide.email.inbound.account_group_processing is set to false and email reader job set to """"On Demand""""",Known Error
KB0993984,How to place the Support Options #gt# Call Support anywhere else on the virtual agent window.,Support and Troubleshooting
KB0538157,MID Server Performance Reports | How to gauge the performance of deployed MID Servers,Support and Troubleshooting
KB0756665,Event Management - What is an Event and dealing with events,Support and Troubleshooting
KB0783502,Flow designer is not sending outbound REST call to third-party app but system still requires IntegrationHub plugin,Support and Troubleshooting
KB0997033,Script doesn't  set the view in the View Rule,Support and Troubleshooting
KB0869304,"Script error encountered when changing this field - please contact your System administrator"""" while changing a field on the form",Support and Troubleshooting
KB0692650,Chat entry timestamps before creating an incident/case are not accurate,Known Error
KB0866547,Maximum execution time exceeded error while making an inbound REST call,Support and Troubleshooting
KB0852489,Credential Sessions not disconnecting on AIX Servers after discovery,Support and Troubleshooting
KB1402436,"UI Builder, List View is broken for custom table as display empty page",Support and Troubleshooting
KB0820557,com.glide.ui.ServletErrorListener error in system logs,Support and Troubleshooting
KB0728467,"Details on """"glide.sys.restrict_global_domain_processes"""" system property",Support and Troubleshooting
KB0958700,"Windows discovery fails with error message """"The stub received bad data.""""",Support and Troubleshooting
KB1542272,Using restricted mode within the Duplicate CI Remediator,Support and Troubleshooting
KB1191357,Announcement widget title is not translating in  pages ec_pro_dashboard or ec_dashboard.,Known Error
KB0678716,Widgets in breakdown dashboard not consistently displaying data when no breakdown value is (visibly) selected,Support and Troubleshooting
KB0813812,Catalog task activity is accepting both the conditions in the workflow and proceeding both routes.,Support and Troubleshooting
KB1204813,com.glide.security.strict_read_roles - System Property profile,Support and Troubleshooting
KB0863795,Discovery and Service Mapping Patterns RollBack/Uninstall,Support and Troubleshooting
KB0960702,Unable to disable the interceptor to Change Request Form,Support and Troubleshooting
KB0958296,SSH Privileged Commands,Support and Troubleshooting
KB0716391,Best practices for handling scriptable outbound REST and SOAP messages on the Now Platform,Support and Troubleshooting
KB1216285,Manage outstanding issues with MID Servers,Product Knowledge
KB0868216,Error: Cannot commit Update Set 'Update_Set_Name' because: Update scope id 'global' is different than update set scope id 'Scope_ID'. ,Support and Troubleshooting
KB1321867,The breakdown source name displays unicode for the '/' character on breakdown source selector dropdown,Known Error
KB0539837,Cloning Resources Page,Support and Troubleshooting
KB0861637,"This record has been recently modified in update set """"UPDATE SET"""" by """"USER"""" but not committed to the source control (View differences). The update set """"UPDATE SET"""" is unavailable. To edit the record use """"NEW UPDATE SET"""" update set",Support and Troubleshooting
KB0866410,Unexpected record archived,Support and Troubleshooting
KB1225738,Utah upgrade performance degradation caused by Vulnerability Response (sn_vul) plugin,Known Error
KB0817583,Slowness because of high memory contention when the job 'Flow Engine Event Handler' is running,Support and Troubleshooting
KB0813130,A Flow Designer Flow is not working - it is showing an error.,Support and Troubleshooting
KB0854221,WARNING *** org.apache.commons.httpclient.HttpException: OCSP communication error 503 Method failed: (/) with code: 503,Support and Troubleshooting
KB0862969,"LDAP users cannot access the ServiceNow instance. Getting the ErrorMessage: Connection timed out, failed to connect to server ",Support and Troubleshooting
KB0723007,Best Practice of Column/Field Creation (and Deletion),Support and Troubleshooting
KB0789942,Virtual Agent - how to include content items in search results,Support and Troubleshooting
KB0829927,How to find Incidents with attachments,Support and Troubleshooting
KB0722985,Utilizing the INSTANCEOF operator to improve CMDB_CI queries.,Support and Troubleshooting
KB1224673,Security fixes in Utah - Early Availability,Release Notes
KB0718506,Users with the sn_customerservice roles are not able to see company cases,Support and Troubleshooting
KB0749394,"ServiceNow hyperlinks do not open when clicked through MS Word, when multi-SSO is enabled ",Support and Troubleshooting
KB0864633,Guided Tours not auto launching on service portal,Support and Troubleshooting
KB0779911,"Auto numbering field creates empty numbers and logs the error ""Evaluator: java.lang.SecurityException: getNextObjNumberPadded undefined, maybe missing global qualifier""",Support and Troubleshooting
KB0965366,Certificate Management Bulk Upload issues,Support and Troubleshooting
KB1116784,"The """"Virtualized by::Virtualizes"""" relationship is not getting created between Virtual Machine (VM) and hosting server (ESX Server)",Support and Troubleshooting
KB0853476,How to load all the widgets in a performance analytics dashboard at the same time even if they are outside of the screen ,Support and Troubleshooting
KB1080237,Remove Roles with 'empty' user records,Support and Troubleshooting
KB0686721,Horizontal Discovery - Failed Exploring CI Pattern. Check Pattern Docker Pattern Log Here,Support and Troubleshooting
KB0952645,"Error compiling a flow that calls a subflow which are both part of an application that has been developed, uninstalled, and reinstalled on the same instance",Known Error
KB0856489,"In NOW  mobile app,  notifications are not clearing out once actions are performed on them.",Known Error
KB0855277,Inbound email processing is stuck alerts,Support and Troubleshooting
KB0866343,Using business rule to set 'Requested For' field to be same as 'Requested For' variable is not working ,Support and Troubleshooting
KB0777766,Variables editor not rendering the same on RITM and SCTASK record,Support and Troubleshooting
KB1515907,Service Graph Connector for Infoblox Landing Page,Support and Troubleshooting
KB0687516, Event Management events stuck in 'Queued.' state.,Support and Troubleshooting
KB0564282,Resolving issue of RPC Server unavailable during Windows Server discovery in Service Mapping,Support and Troubleshooting
KB1362282,Cloud Services Catalog: Known Issues and Workarounds,Support and Troubleshooting
KB0870261,What is backup data or backups? Where is back up data stored? What kind of testing is done to ensure quality? How long are backups kept?,Support and Troubleshooting
KB0813252,Auto approval is happening on the RITM for specific user.,Support and Troubleshooting
KB0760542,"UI policy to """"clear the variable value"""" does not clear out price in ordering item widget in platform",Support and Troubleshooting
KB0784383,"New York list_edit ACL causes the error """"You do not have the permissions to modify this record"""" moving cards between swim lanes in a Visual Task Board",Known Error
KB0725092,In payload invalid data source [CredentiallessDiscovery] exist. You need to provide a valid choice value from field [discovery_source] in table [cmdb_ci],Support and Troubleshooting
KB1436945,HI ユーザーアカウントのロック解除,Support and Troubleshooting
KB0996958,Training NLU model displays error on developer/personal instances,Support and Troubleshooting
KB1123080,"Change State Changed From """"Assess"""" to """"Scheduled"""" and Skipped """"Authorize"""" With the Message """"No approvals were generated from matched Decisions. Normal Change Policy has been skipped (Risk approvals)."""" In Audit History.",Support and Troubleshooting
KB0965934,Firewall devices discovered in IP Router class,Support and Troubleshooting
KB1121745,How to change Audio alert for Virtual Agent,Support and Troubleshooting
KB0750562,Backport request template for Dev Teams,Support and Troubleshooting
KB1205962,Faceted Search Widget Fix for PRB1594577 is not effective labels are not being translated,Support and Troubleshooting
KB0958926,Qualification Process SOP - POL0020804 - 1.4,CORE
KB0751248,Email sending failed with error : QuotaExceededException,Support and Troubleshooting
KB0858671,WSDL not accessible and getting exception while downloading  the WSDL,Support and Troubleshooting
KB0868619,Staging field u_sys_id is ot created during easy import of sys_user records,Support and Troubleshooting
KB0813151,Multirow Variable Set - Known Issues,Support and Troubleshooting
KB0829312,Issue while testing connection between Servicenow and Microsoft Office 365 account using Oauth 2.0 authentication,Support and Troubleshooting
KB1209636,How admins can able to edit the OOB pages in Virtual agent dashboard?,Support and Troubleshooting
KB1124266,Unable to open custom topics in virtual agent designer,Support and Troubleshooting
KB1225622,Columns in list view are not aligned in all the tabs in SAM Legacy License Workbench and Software Spend Detection Overview dashboard,Known Error
KB0789008,Create Reopen Button for an Incident Resolved Notification,Support and Troubleshooting
KB0997793,Unable to import Certificate File,Support and Troubleshooting
KB0813172,Milestone message when changing the End Date on tsp1_project_task table.,Support and Troubleshooting
KB0721942,How to identify UI nodes and Worker nodes,Support and Troubleshooting
KB0863160,How to add delegated Approval records to the Approvals Applet,Support and Troubleshooting
KB1213471,Selecting the search suggestions for Order guide takes to catalog page when AI search is enabled,Known Error
KB0999127,Not able to display correctly results from QueryBuilder queries in dashboards.,Support and Troubleshooting
KB1517574,Workspace performance issue - Canvas error popup comes on the record and the loading speed of the form becomes slow,Known Error
KB1064630,Disk Space is incorrectly discovered for Linux Servers,Support and Troubleshooting
KB0822583,"The """"Planned end date"""" field of """"Change task"""" changes value automatically.",Support and Troubleshooting
KB0790229,Catalog items from child categories are not displaying in Service Portal,Support and Troubleshooting
KB0722959,Favorites do not correctly save with filter conditions when the Favorite is created after the condition filters are saved.,Known Error
KB0962854,Discovery of firewall is getting classified as IP Router,Support and Troubleshooting
KB1208930,Homepage deprecation tool conversion of Homepages to Dashboard ,Support and Troubleshooting
KB0814564,How to fix 'Recipient attribute in SubjectConfirmationData mismatch' error when re-authenticating e-Signature approval via SSO,Support and Troubleshooting
KB0818529,MID Server log is showing AMB channel connection is not successful with an Illegal character error.,Support and Troubleshooting
KB1116952,Windows error The RPC server is unavailable,Support and Troubleshooting
KB0782224,"Software Installed"""" data is missing during a Windows Discovery",Support and Troubleshooting
KB0726393,Reverting customizations back to Out-of-Box configuration,Support and Troubleshooting
KB1303377,How to sync user profile photos from a REST Source,Support and Troubleshooting
KB0656860,"The """"Paste Formatting Options"""" dialog  window is displayed maximized in full screen if the browser window height is less than about 900 pixels",Known Error
KB0720080,"Custom State on Project shows error when selected or saved with: 'Custom state """""""" is not mapped to any state bucket",Support and Troubleshooting
KB0697425,KB articles not appearing in the Knowledge Homepage search for certain Knowledge Bases,Support and Troubleshooting
KB1113653,"Virtual Agent - How to hide the """"Live Agent Support"""" topic",Support and Troubleshooting
KB0656895,Linking different KB Articles in KB Articles,Support and Troubleshooting
KB0783470,Determining why a field is Read Only (grayed out and not editable),Support and Troubleshooting
KB0721355,Flow is not triggering in domain separated instance,Support and Troubleshooting
KB0712420,"The clone pre-flight check for valid capacity mapping has failed"""" on clone to demo or pov instance as target",Support and Troubleshooting
KB0813908,Linux Server Discovery fails with - JAVASCRIPT_CODE_FAILURE: Caused by error in Ad hoc script 'EvalClosure-Set dest_ip_network for each route' at line 6,Support and Troubleshooting
KB1165780,Performance issue related to granular delegation,Known Error
KB0747549,Separate browser tabs do not behave independently leading to navigation activity in one tab affecting navigation activity in the other tab. ,Support and Troubleshooting
KB1425858,Clone Admin Console – Quick Start Guide & Instructions,Support and Troubleshooting
KB1553280,Misalignment on creating a new case in default mode,Known Error
KB0854339,Understanding Custom Table Entitlement included with a ServiceNow Subscription,Support and Troubleshooting
KB0726509,Things to Consider before Removing/Deleting your Data ,Support and Troubleshooting
KB0814962,Task record field value clearing after Save or Update,Support and Troubleshooting
KB0712445,Why do Assets get created when inserting a CI that has a Model that is set to Don't create Assets?,Support and Troubleshooting
KB1263036,Non-admin users are unable to expand filter on csm portal,Known Error
KB0996540,Flow Designer action with complex object array output erroneously outputs an array with 1 object when assigned an empty array,Known Error
KB1124535,SSHTerminalInteractiveCommand probe ignores Credential Affinity,Known Error
KB0958193,LDAP Group Load is not populating members,Support and Troubleshooting
KB0955987,Incidents are no longer resolving when they are 'On Hold' 'Awaiting Problem' and the related problem ticket is closed,Support and Troubleshooting
KB0961924,"Getting Error """"Please select a project calculation type under preferences."""" when updating Project",Support and Troubleshooting
KB1163363,"MS Teams Virtual Agent """"I'm having technical issues and won't be able to continue this conversation.""""",Support and Troubleshooting
KB1209638,Unable to add security_admin role via group in Tokyo - Elevated security_admin user cannot add a user to a group with admin and security_admin role via Groups,Known Error
KB0853039,CMDB Health Dashboard Disabled,Data Foundations
KB1169919,Custom field added in planning console for Project does not show any data and is not editable,Support and Troubleshooting
KB0825691,User login fails with SAML2: TypeError: Cannot convert null to an object.,Support and Troubleshooting
KB1526679,The Assignment rule is not triggered even if the applicable condition is met.,Support and Troubleshooting
KB1316107,SAM Pro - Smartsheet direct integration profile not retrieving subscriptions,Support and Troubleshooting
KB0860136,Using a Dynamic filters in  Performance Analytics,Support and Troubleshooting
KB0534762,Form Sections configuration - Broken relationships between [sys_ui_section] and [sys_ui_form_section] records cause forms to not load,Known Error
KB1156577,Capture web session traffic and console logs for troubleshooting ,Support and Troubleshooting
KB0993417,Bad SNMP OIDs 1.3.6.1.4.1.14823.1.2.* causes unsupported Aruba Access Point devices to classified as Network Switch,Known Error
KB1514184,How to find out if Global Search is using AI search or Zing Search ,Support and Troubleshooting
KB1113381,Increase in syslog retention period,Support and Troubleshooting
KB0594663,gs.dateDiff() (Global GlideSystem) returns invalid results,Support and Troubleshooting
KB0866449,"Unable to add """"Recommended Fields"""" Under Completeness for """"Business Applications """" Table",Support and Troubleshooting
KB0691938,Additional Comments and worknotes are missing on a record when viewing in custom view,Support and Troubleshooting
KB0745206,Developer tab is not displayed in System Settings for admin user,Support and Troubleshooting
KB0721240,Error in business service - Missing pattern-based outgoing connections from load balancer. Please check the correctness of the incoming connection,Support and Troubleshooting
KB0859763,Can we update system fields like 'Updated by' and 'Created by'  from some old value to a new value through any API or Scripts Manually..!!,Support and Troubleshooting
KB0960449,Scripted Field Mapping from Jira Webhook to sub-flow in integrationHub fails with error.,Support and Troubleshooting
KB1116899,"Operational Status, Install Status & Hardware Status fields for CIs related to vCenter discovery",Support and Troubleshooting
KB0870773,Write roles on a catalog item variable are not applied when creating a new request,Support and Troubleshooting
KB0794058,Purchase Order [ast_po] and Line Items  [ast_po_item] tables no longer available,Support and Troubleshooting
KB0685163,"Failing Widgets in Service Portal for sc_cat_item, sc_cat_item_producer, sc_cat_item_guide",Support and Troubleshooting
KB1080232,Health Log Analytics Troubleshooting,Support and Troubleshooting
KB0829648,REST Table API: Using GET Method when sysparm_fields Makes the Request Exceed the Maximum Length of the URL/URI - HTTP-400 Response is Returned,Support and Troubleshooting
KB0779816,How to continue a MID Server upgrade after it has crashed in the middle of the ServiceNow Platform Distribution Upgrade service leaving the MID Server down and service not running,Support and Troubleshooting
KB0748343,The Read-Only role and how to use it,Support and Troubleshooting
KB0957459,"Flow Designer Actions are failling , throwing error ""Step definition not found"".",Support and Troubleshooting
KB1333327,RITM Request closure email notifications getting triggered multiple times due to notification conditions,Support and Troubleshooting
KB0564378,Governance Model Quick Reference Guide,Support and Troubleshooting
KB0745434,Validating and comparing instance upgrades,Support and Troubleshooting
KB0563750,Date duration field scripted using gs.dateDiff() does not show the day value if negative,Known Error
KB0748443,Now Support Administration and Now Support Partner Administration | Parent,Support and Troubleshooting
KB0623238,"Automated Test Framework error: """"This step failed because a client-side Javascript error was detected"""".",Known Error
KB1585118,Emails aren't shown in the Activity Stream (especially after upgrade),Support and Troubleshooting
KB0695283,State field on change request is not defaulting to new or not working after creating a new change request.,Support and Troubleshooting
KB0693938,How can the element type be made editable from the list V2,Support and Troubleshooting
KB0780978,"Users are getting the error message """"Not Authorized"""" when trying to create a standard change",Support and Troubleshooting
KB1568579,Dispatcher Workspace: All Day events are not shown correctly in the Work day view,Support and Troubleshooting
KB0860113,Inbound Scripted REST Request Fails With HTTP-500 Response and this in the Instance Node Log:  java.lang.IllegalArgumentException: Cannot decode: java.io.StringReader@5265c1 ,Support and Troubleshooting
KB1272689,Golden Clone Design,Support and Troubleshooting
KB0639101,Testing the connection before activating an IdP record,Support and Troubleshooting
KB1047971,"When trying to Edit Catalog Item in Catalog Builder user receives: ""This item cannot be checked out. If it was just published, please try after some time.""",Support and Troubleshooting
KB0597844,Instance Hardening Remediation Customer FAQs: GlideRecord and Script Sandboxing,Support and Troubleshooting
KB0714676,Approval History of a record is empty when approvals are created via workflow and gets approved.,Support and Troubleshooting
KB1588370,インスタンスと MID サーバーの接続のトラブルシューティング,Support and Troubleshooting
KB0780900,Troubleshooting MID Server connectivity with the instance,Support and Troubleshooting
KB0831935,Redirect Automatically to SSO IdP Authentication from the Instance Login Page (/login.do) ,Support and Troubleshooting
KB1122531,Performance Brown Bag - Instance Architecture,Support and Troubleshooting
KB0958829,How to use IntegrationHub REST step,Support and Troubleshooting
KB0713174,"Pop-up message """"Changes you made may not be saved"""" appears when moving away from RITM without making any changes if List  collector variable is present in the form",Known Error
KB0713075,Why activity stream (sys_audit / sys_history_line) is not capturing a specific state transition? ,Support and Troubleshooting
KB0827063,users taken to logout using Multi Provider sso. Test connection is successful and Identity Provider is active,Support and Troubleshooting
KB0870201,Show related incidents dialog box doesn't show up when the any incident in the list has a special icons in it,Support and Troubleshooting
KB0952548,"Query-based service (Dynamic CI Group) does not appear in ""Impacted services/CIs"" tab when running ""Refresh Impacted services"" in incident, though the CI in incident included in this service",Known Error
KB0955328,Unable to remove role from user even though it is not inherited from a group,Support and Troubleshooting
KB0862981,MetricBase server connection unavailability,Known Error
KB0687786,Error WinRM client cannot process the request. Use winrm.cmd to configure TrustedHost.,Support and Troubleshooting
KB0724524,Custom URL - The CNAME record for #lt#custom_url#gt# does not point to #lt#instance_url#gt#,Support and Troubleshooting
KB0954980,"Role """"sam_core_user"""" is not working as expected",Support and Troubleshooting
KB0786396,Company applications can be self managed and removed from the App Store via our Self-Service portal,Support and Troubleshooting
KB0695882,How to create a copy of a Dashboard in ServiceNow,Support and Troubleshooting
KB0685310,How to retire an instance immediately,Support and Troubleshooting
KB1586626,CDP Rating,CORE
KB0959652,Backup Practices for Self-Hosted Customers,Self-Hosted
KB0817951,"Exporting PDF via RESTMessageV2 API with basic authentication  fails with the error """"Method failed: (/xxxxxx.do) with code: 401 - Invalid username/password combo"""" ",Support and Troubleshooting
KB0547046,Troubleshooting Service Catalog Items,Support and Troubleshooting
KB0719158,"Discovery Credentials - Orphaned cause """"SEVERE *** ERROR *** An error occurred while decrypting credentials from instance""""",Support and Troubleshooting
KB1115691,User has roles that are inherited from a group even after being removed from it,Support and Troubleshooting
KB0714351,Can't change the Based-On field in an On-Call Schedule,Support and Troubleshooting
KB0953459,Scheduled Email Report gets generated with truncated and missing columns or rows,Support and Troubleshooting
KB0753573,ERROR: invalid field or missing message passed to g_form.showFieldMsg,Support and Troubleshooting
KB0516087,Scheduled job not running with definition present,Support and Troubleshooting
KB0655991,Microsoft AZURE provisioning only targets sys_user and optionally sys_group tables,Support and Troubleshooting
KB0962364,Hardware Asset Refresh - how to determine if an asset is eligible for refresh,Support and Troubleshooting
KB0759389,Task SLAs are not refreshing on regular intervals,Support and Troubleshooting
KB1431441,"Agent host data collection state remains in """"Collecting """" state forever",Support and Troubleshooting
KB0994529,Flow IF Condition is Evaluating (empty) Strings Incorrectly when they are accessed via Dot-Walk,Known Error
KB0717024,Keyword Search in Data Table widget,Support and Troubleshooting
KB0860851,"The variable attribute """"is_searchable_choice=true"""" is not supported for the Lookup Select Box variable if this variable is a part of Multi-Row Variable Set.",Support and Troubleshooting
KB0965638,Outbound email from instance are repeatedly set out in a loop for every minute,Support and Troubleshooting
KB0817507,Opening variables with a table choice list can be slow performing on item_option_new.do,Known Error
KB0997365,User Experience Analytics - Opt in/out details,Support and Troubleshooting
KB0680649,Sorting and filtering by column not functioning for widgets,Known Error
KB0866983,"What is the Max Value for the field type """"Duration""""?",Support and Troubleshooting
KB0716510,How to revert specific feature and functionality back to base system through a plugin activation. ,Support and Troubleshooting
KB0818138,$change_request_calendar_view / conflict calendar page blank for non-admin users,Support and Troubleshooting
KB0753509,"How to add or remove fields in the form displayed when clicking on the """"Update Selected""""  and """"Update All"""" context menu options to get massive updates on lists. ",Support and Troubleshooting
KB1080460,Paris パッチ 7a：既知のエラー,Known Error
KB0784993,How to modify the fields that are exported into a PDF file from the Service Portal form widget,Support and Troubleshooting
KB0963193,Alternative to GlideRecord and Glidequery,Support and Troubleshooting
KB0722454,Data in cmdb health result table has 'active' set to 'False'.,Support and Troubleshooting
KB1276496,After installing/upgrading Workplace Reservation Management Plugins the Workplace Reservation module was broken,Support and Troubleshooting
KB0552002,Determining why searches do not return all expected results after cloning,Support and Troubleshooting
KB1187882,"Add all events to calendar"""" link in widget """"Event Calendar (CD)"""" throwing an error if there are no future events in the current year",Known Error
KB0781079,Identity Provider record creation fails with 'Duplicate entry '#lt#IDP URL#gt#' for key 'idp'',Support and Troubleshooting
KB0535690,Troubleshooting wrong imported table metadata,Support and Troubleshooting
KB0716503,SLA field 'Business time left' shows value zero ,Support and Troubleshooting
KB0856313,Global Search is not returning records from sc_task when searching for a field on the record,Support and Troubleshooting
KB1080458,Quebec パッチ 3：既知のエラー,Known Error
KB1112431,SSL Certificate is not working,Support and Troubleshooting
KB1573983,"Certificate List is Empty - Please check Credentials and Configurations (ca_api_url, ca_api_version, include_cert_status) , Pattern name: Entrust - Certificate Management",Support and Troubleshooting
KB0957275,Branding of Now Virtual Agent in Microsoft Teams,Support and Troubleshooting
KB0780895,Attachment missing or broken after upgrade or clone,Support and Troubleshooting
KB0786118,Steps to switch a scoped application from your company's application repository to update sets,Support and Troubleshooting
KB0596723,Read-Replica Support for REST API Requests,Support and Troubleshooting
KB0788808,When using g_form.setMandatory in a client script to set work_notes or comments fields mandatory the Post button disappears,Known Error
KB1001567,Getting 'Error while authorizing the user' when clicking on 'Your Hub' option in Teams 'ServiceNow for Microsoft Teams' Application,Support and Troubleshooting
KB0748678,Discovery - MIB information has been loaded to system but won't return any OIDs for SNMP query,Support and Troubleshooting
KB0957806,Event registry name issues with character limitation,Support and Troubleshooting
KB0993183,Transferred HR Case is associated to an open Interaction in error,Known Error
KB0870782,"Discovery and Service Mapping Patterns"""" v0.71 on pre-P instances breaks """"Library Reference"""" step due to the """"is_paginated"""" property",Known Error
KB0697308,Capacity in a Resource Report for a Resource user is not correct,Support and Troubleshooting
KB1445778,The global search for a record either does nothing or it gets stuck loading for AI Search enabled instance,Known Error
KB0683981,"How to resolve record producer getting stuck at """"Submitting..."""" in Service Portal",Support and Troubleshooting
KB1346310,"Scheduled job """"SAM - Normalize discovery models using content library rules"""" fails when CDS content library is not complete",Known Error
KB0749739,How to make 'Windows OS - Servers' Pattern return Bios Serial number instead of Baseboard Serial number,Support and Troubleshooting
KB0547236,Setting up Performance Analytics on a Domain Separated instance,Support and Troubleshooting
KB0623879,Field label [sys_documentation] records fail to open the form from a dictionary entry related list for cmdb_ci fields,Known Error
KB1202640,Information about glide.ui.polaris.experience on upgrade,Support and Troubleshooting
KB0549998,Security Case Handling | Case management process,Global Technical Support
KB1096137,Add proxy host to discover Microsoft certificate,Support and Troubleshooting
KB1286916,Does web service account with roles consume a license.,Support and Troubleshooting
KB0963059,How to prevent updation of configuration items in CMDB created by other sources,Support and Troubleshooting
